"seatID","custID"
8368,"HSFL4PXY82CC"
8369,"HSFL4PXY82CC"
8370,"HSFL4PXY82CC"
8371,"HSFL4PXY82CC"
8372,"HSFL4PXY82CC"
8373,"HSFL4PXY82CC"
7795,"KRS0QXSHEW03"
7796,"KRS0QXSHEW03"
19273,"E674F8KT35LL"
8635,"HOYVIJ7WMMI4"
28050,"5SGQRR4RH4TD"
10268,"DJ62YLH9M39B"
10269,"DJ62YLH9M39B"
10270,"DJ62YLH9M39B"
10271,"DJ62YLH9M39B"
25577,"GKBS3EMR3F85"
25578,"GKBS3EMR3F85"
8072,"BUGOX7XALZZ3"
8073,"BUGOX7XALZZ3"
8074,"BUGOX7XALZZ3"
8075,"BUGOX7XALZZ3"
34884,"GOZH2VG48BWX"
34885,"GOZH2VG48BWX"
34886,"GOZH2VG48BWX"
34887,"GOZH2VG48BWX"
10266,"NK4QXD5A0U8H"
10267,"NK4QXD5A0U8H"
12336,"KMAA76J1N88C"
12337,"KMAA76J1N88C"
12338,"KMAA76J1N88C"
12339,"KMAA76J1N88C"
12340,"KMAA76J1N88C"
19209,"GDCG9O1TSCHA"
19210,"GDCG9O1TSCHA"
19211,"GDCG9O1TSCHA"
19212,"GDCG9O1TSCHA"
19213,"GDCG9O1TSCHA"
19214,"GDCG9O1TSCHA"
19215,"GDCG9O1TSCHA"
19216,"GDCG9O1TSCHA"
19217,"GDCG9O1TSCHA"
19218,"GDCG9O1TSCHA"
19219,"GDCG9O1TSCHA"
19220,"GDCG9O1TSCHA"
19221,"GDCG9O1TSCHA"
19222,"GDCG9O1TSCHA"
19223,"GDCG9O1TSCHA"
19224,"GDCG9O1TSCHA"
19225,"GDCG9O1TSCHA"
19226,"GDCG9O1TSCHA"
19227,"GDCG9O1TSCHA"
19228,"GDCG9O1TSCHA"
19229,"GDCG9O1TSCHA"
19230,"GDCG9O1TSCHA"
19231,"GDCG9O1TSCHA"
19232,"GDCG9O1TSCHA"
19233,"GDCG9O1TSCHA"
19234,"GDCG9O1TSCHA"
19235,"GDCG9O1TSCHA"
19236,"GDCG9O1TSCHA"
19237,"GDCG9O1TSCHA"
19238,"GDCG9O1TSCHA"
19239,"GDCG9O1TSCHA"
19240,"GDCG9O1TSCHA"
19241,"GDCG9O1TSCHA"
19242,"GDCG9O1TSCHA"
19243,"GDCG9O1TSCHA"
19244,"GDCG9O1TSCHA"
19245,"GDCG9O1TSCHA"
19246,"GDCG9O1TSCHA"
19247,"GDCG9O1TSCHA"
19248,"GDCG9O1TSCHA"
19249,"GDCG9O1TSCHA"
19250,"GDCG9O1TSCHA"
19251,"GDCG9O1TSCHA"
19252,"GDCG9O1TSCHA"
19253,"GDCG9O1TSCHA"
19254,"GDCG9O1TSCHA"
19255,"GDCG9O1TSCHA"
19256,"GDCG9O1TSCHA"
19257,"GDCG9O1TSCHA"
19258,"GDCG9O1TSCHA"
19259,"GDCG9O1TSCHA"
19260,"GDCG9O1TSCHA"
19261,"GDCG9O1TSCHA"
19262,"GDCG9O1TSCHA"
19263,"GDCG9O1TSCHA"
19264,"GDCG9O1TSCHA"
19265,"GDCG9O1TSCHA"
19266,"GDCG9O1TSCHA"
19267,"GDCG9O1TSCHA"
19268,"GDCG9O1TSCHA"
19269,"GDCG9O1TSCHA"
19270,"GDCG9O1TSCHA"
19271,"GDCG9O1TSCHA"
19272,"GDCG9O1TSCHA"
19274,"GDCG9O1TSCHA"
19275,"GDCG9O1TSCHA"
19276,"GDCG9O1TSCHA"
19277,"GDCG9O1TSCHA"
19278,"GDCG9O1TSCHA"
19279,"GDCG9O1TSCHA"
19280,"GDCG9O1TSCHA"
19281,"GDCG9O1TSCHA"
19282,"GDCG9O1TSCHA"
19283,"GDCG9O1TSCHA"
19284,"GDCG9O1TSCHA"
19285,"GDCG9O1TSCHA"
19286,"GDCG9O1TSCHA"
19287,"GDCG9O1TSCHA"
19288,"GDCG9O1TSCHA"
19289,"GDCG9O1TSCHA"
19290,"GDCG9O1TSCHA"
19291,"GDCG9O1TSCHA"
19292,"GDCG9O1TSCHA"
19293,"GDCG9O1TSCHA"
19294,"GDCG9O1TSCHA"
19295,"GDCG9O1TSCHA"
19296,"GDCG9O1TSCHA"
19297,"GDCG9O1TSCHA"
19298,"GDCG9O1TSCHA"
19299,"GDCG9O1TSCHA"
19300,"GDCG9O1TSCHA"
19301,"GDCG9O1TSCHA"
19302,"GDCG9O1TSCHA"
19303,"GDCG9O1TSCHA"
19304,"GDCG9O1TSCHA"
19305,"GDCG9O1TSCHA"
19306,"GDCG9O1TSCHA"
19307,"GDCG9O1TSCHA"
19308,"GDCG9O1TSCHA"
22648,"Z4DJZJS6XKHJ"
22649,"Z4DJZJS6XKHJ"
22650,"Z4DJZJS6XKHJ"
22651,"Z4DJZJS6XKHJ"
7048,"GYX3KL6M1AXK"
7049,"GYX3KL6M1AXK"
7050,"GYX3KL6M1AXK"
7051,"GYX3KL6M1AXK"
7052,"GYX3KL6M1AXK"
7053,"GYX3KL6M1AXK"
26628,"B3XT0JFN2YKH"
11420,"XH5G1SNAS6XT"
11421,"XH5G1SNAS6XT"
11422,"XH5G1SNAS6XT"
11423,"XH5G1SNAS6XT"
11424,"XH5G1SNAS6XT"
11425,"XH5G1SNAS6XT"
11426,"XH5G1SNAS6XT"
11427,"XH5G1SNAS6XT"
11428,"XH5G1SNAS6XT"
11429,"XH5G1SNAS6XT"
11430,"XH5G1SNAS6XT"
11431,"XH5G1SNAS6XT"
11432,"XH5G1SNAS6XT"
11433,"XH5G1SNAS6XT"
11434,"XH5G1SNAS6XT"
11435,"XH5G1SNAS6XT"
11436,"XH5G1SNAS6XT"
11437,"XH5G1SNAS6XT"
11438,"XH5G1SNAS6XT"
11439,"XH5G1SNAS6XT"
5227,"MUEEQXI8CL48"
5228,"MUEEQXI8CL48"
5229,"MUEEQXI8CL48"
5230,"MUEEQXI8CL48"
5231,"MUEEQXI8CL48"
5232,"MUEEQXI8CL48"
5233,"MUEEQXI8CL48"
5234,"MUEEQXI8CL48"
5235,"MUEEQXI8CL48"
5236,"MUEEQXI8CL48"
5237,"MUEEQXI8CL48"
5238,"MUEEQXI8CL48"
5239,"MUEEQXI8CL48"
5240,"MUEEQXI8CL48"
5241,"MUEEQXI8CL48"
5242,"MUEEQXI8CL48"
5243,"MUEEQXI8CL48"
5244,"MUEEQXI8CL48"
5245,"MUEEQXI8CL48"
5246,"MUEEQXI8CL48"
29320,"NXDJLYODGQFO"
29321,"NXDJLYODGQFO"
30096,"8O3XI2CCP79D"
30097,"8O3XI2CCP79D"
30098,"8O3XI2CCP79D"
30099,"8O3XI2CCP79D"
30100,"8O3XI2CCP79D"
30101,"8O3XI2CCP79D"
30102,"8O3XI2CCP79D"
1528,"TQ1PHZMZK7IE"
1529,"TQ1PHZMZK7IE"
2735,"K7GBECH2DCO7"
2736,"K7GBECH2DCO7"
2737,"K7GBECH2DCO7"
2738,"K7GBECH2DCO7"
2739,"K7GBECH2DCO7"
2740,"K7GBECH2DCO7"
2741,"K7GBECH2DCO7"
2742,"K7GBECH2DCO7"
2743,"K7GBECH2DCO7"
2744,"K7GBECH2DCO7"
11236,"XAQ3VVS141IO"
11237,"XAQ3VVS141IO"
33543,"SDNM3W2HJBAI"
33544,"SDNM3W2HJBAI"
23066,"YCQE0XDCWP9I"
23067,"YCQE0XDCWP9I"
23068,"YCQE0XDCWP9I"
23069,"YCQE0XDCWP9I"
37296,"3PA50OIQ7136"
37297,"3PA50OIQ7136"
37298,"3PA50OIQ7136"
40055,"KY4FFA9A5HLZ"
40056,"KY4FFA9A5HLZ"
40057,"KY4FFA9A5HLZ"
40058,"KY4FFA9A5HLZ"
40059,"KY4FFA9A5HLZ"
40060,"KY4FFA9A5HLZ"
40061,"KY4FFA9A5HLZ"
29746,"8AFT8XHBDF51"
29747,"8AFT8XHBDF51"
29748,"8AFT8XHBDF51"
29749,"8AFT8XHBDF51"
29750,"8AFT8XHBDF51"
29751,"8AFT8XHBDF51"
29752,"8AFT8XHBDF51"
29753,"8AFT8XHBDF51"
29754,"8AFT8XHBDF51"
29755,"8AFT8XHBDF51"
29756,"8AFT8XHBDF51"
29757,"8AFT8XHBDF51"
29758,"8AFT8XHBDF51"
29759,"8AFT8XHBDF51"
29760,"8AFT8XHBDF51"
29761,"8AFT8XHBDF51"
29762,"8AFT8XHBDF51"
29763,"8AFT8XHBDF51"
29764,"8AFT8XHBDF51"
29765,"8AFT8XHBDF51"
29178,"IKTYAFZ7AZJY"
29179,"IKTYAFZ7AZJY"
6498,"MESE5840C35F"
6499,"MESE5840C35F"
6500,"MESE5840C35F"
6501,"MESE5840C35F"
8979,"GB3TMCXH35OO"
8980,"GB3TMCXH35OO"
37025,"U4L6CQGB8T57"
37026,"U4L6CQGB8T57"
23402,"C7JD7YFAZM1N"
23403,"C7JD7YFAZM1N"
39653,"37XWI9W8CJOT"
39654,"37XWI9W8CJOT"
39655,"37XWI9W8CJOT"
39656,"37XWI9W8CJOT"
39657,"37XWI9W8CJOT"
