repID,call,revenue
MBT9G0X70NTI,4,0
QTR3JJJ5J6GJ,3,533.2436444108421
HOMV3XQW32LW,2,2052.693331274998
RJ7CCATUH4Q1,2,0
9GZT5Z5AOMKV,1,0
S0Y0Y2454IU2,4,38344.666401417504
YOZ51B6A2QMB,4,0
AFA0Z9M2M4LQ,2,2450.5098672916574
0LK62LATB8E3,2,0
QO0YHBN8KRMK,1,4399.633432205361
MBT9G0X70NTI,3,536.1179474504471
QTR3JJJ5J6GJ,5,2862.497203618504
HOMV3XQW32LW,3,0
RJ7CCATUH4Q1,1,3342.368323119991
9GZT5Z5AOMKV,1,2952.2732523962222
S0Y0Y2454IU2,3,1940.618027119955
YOZ51B6A2QMB,2,0
AFA0Z9M2M4LQ,3,0
0LK62LATB8E3,2,0
QO0YHBN8KRMK,1,2736.908517017174
MBT9G0X70NTI,5,0
QTR3JJJ5J6GJ,4,40824.08158512045
HOMV3XQW32LW,1,0
RJ7CCATUH4Q1,4,55336.42409101354
9GZT5Z5AOMKV,2,3491.6715063833703
S0Y0Y2454IU2,3,0
YOZ51B6A2QMB,1,2338.6822279345215
AFA0Z9M2M4LQ,5,0
0LK62LATB8E3,4,0
QO0YHBN8KRMK,1,2027.7503232001109
MBT9G0X70NTI,2,0
QTR3JJJ5J6GJ,2,0
HOMV3XQW32LW,1,4021.707496560422
RJ7CCATUH4Q1,1,0
9GZT5Z5AOMKV,3,10519.311129618714
S0Y0Y2454IU2,3,0
YOZ51B6A2QMB,2,2249.2709176781773
AFA0Z9M2M4LQ,1,0
0LK62LATB8E3,1,0
QO0YHBN8KRMK,4,0
MBT9G0X70NTI,3,0
QTR3JJJ5J6GJ,5,3209.6971979623527
HOMV3XQW32LW,4,0
RJ7CCATUH4Q1,3,0
9GZT5Z5AOMKV,1,523.4428624355701
S0Y0Y2454IU2,2,0
YOZ51B6A2QMB,5,0
AFA0Z9M2M4LQ,3,0
0LK62LATB8E3,4,0
QO0YHBN8KRMK,1,0
MBT9G0X70NTI,3,413.67545995394914
QTR3JJJ5J6GJ,4,2925.3821551565943
HOMV3XQW32LW,2,0
RJ7CCATUH4Q1,3,4112.833471299393
9GZT5Z5AOMKV,1,3989.519000170905
S0Y0Y2454IU2,5,0
YOZ51B6A2QMB,3,0
AFA0Z9M2M4LQ,2,2777.55958653319
0LK62LATB8E3,3,0
QO0YHBN8KRMK,1,0
MBT9G0X70NTI,4,0
QTR3JJJ5J6GJ,4,2857.2922297651958
HOMV3XQW32LW,1,0
RJ7CCATUH4Q1,3,0
9GZT5Z5AOMKV,4,0
S0Y0Y2454IU2,3,0
YOZ51B6A2QMB,2,0
AFA0Z9M2M4LQ,4,0
0LK62LATB8E3,2,0
QO0YHBN8KRMK,3,0
MBT9G0X70NTI,3,0
QTR3JJJ5J6GJ,1,2900.1000224829904
HOMV3XQW32LW,2,4516.557018933215
RJ7CCATUH4Q1,2,0
9GZT5Z5AOMKV,3,3740.6470086546788
S0Y0Y2454IU2,5,2642.462198246591
YOZ51B6A2QMB,5,0
AFA0Z9M2M4LQ,3,3134.3492041838676
0LK62LATB8E3,2,0
QO0YHBN8KRMK,3,2944.5308403861295
MBT9G0X70NTI,1,2912.0289751269484
QTR3JJJ5J6GJ,3,0
HOMV3XQW32LW,3,0
RJ7CCATUH4Q1,4,0
9GZT5Z5AOMKV,3,0
S0Y0Y2454IU2,4,2238.9759374019864
YOZ51B6A2QMB,2,0
AFA0Z9M2M4LQ,5,0
0LK62LATB8E3,1,4616.15816517549
QO0YHBN8KRMK,3,0
MBT9G0X70NTI,2,0
QTR3JJJ5J6GJ,4,4291.5950435632685
HOMV3XQW32LW,1,0
RJ7CCATUH4Q1,1,0
9GZT5Z5AOMKV,2,0
S0Y0Y2454IU2,4,3397.5700440109295
YOZ51B6A2QMB,3,2704.5077339926574
AFA0Z9M2M4LQ,1,0
0LK62LATB8E3,4,2974.4853667611233
QO0YHBN8KRMK,2,3130.7273240232466
MBT9G0X70NTI,2,0
QTR3JJJ5J6GJ,2,0
HOMV3XQW32LW,2,2689.5765137198605
RJ7CCATUH4Q1,2,2466.1099588065285
9GZT5Z5AOMKV,3,0
S0Y0Y2454IU2,4,0
YOZ51B6A2QMB,3,0
AFA0Z9M2M4LQ,3,2638.3598381508928
0LK62LATB8E3,2,0
QO0YHBN8KRMK,3,0
MBT9G0X70NTI,2,468.4603576947969
QTR3JJJ5J6GJ,1,0
HOMV3XQW32LW,1,0
RJ7CCATUH4Q1,3,0
9GZT5Z5AOMKV,1,47650.48351333263
S0Y0Y2454IU2,5,0
YOZ51B6A2QMB,4,0
AFA0Z9M2M4LQ,3,0
0LK62LATB8E3,1,10831.430095770964
QO0YHBN8KRMK,3,0
MBT9G0X70NTI,2,0
QTR3JJJ5J6GJ,4,3807.960348477588
HOMV3XQW32LW,1,536.540770152542
RJ7CCATUH4Q1,1,1820.5305523066584
9GZT5Z5AOMKV,3,578.91534418519
S0Y0Y2454IU2,4,0
YOZ51B6A2QMB,2,0
AFA0Z9M2M4LQ,4,0
0LK62LATB8E3,5,0
QO0YHBN8KRMK,4,3708.9277964276357
MBT9G0X70NTI,1,0
QTR3JJJ5J6GJ,3,0
HOMV3XQW32LW,2,0
RJ7CCATUH4Q1,1,3208.848749877957
9GZT5Z5AOMKV,1,0
S0Y0Y2454IU2,1,2935.798195108192
YOZ51B6A2QMB,3,0
AFA0Z9M2M4LQ,3,0
0LK62LATB8E3,5,461.5389090740045
QO0YHBN8KRMK,2,0
MBT9G0X70NTI,4,2735.5161200928464
QTR3JJJ5J6GJ,3,3655.0521671380743
HOMV3XQW32LW,3,0
RJ7CCATUH4Q1,4,0
9GZT5Z5AOMKV,1,0
S0Y0Y2454IU2,4,0
YOZ51B6A2QMB,1,3397.9294296325734
AFA0Z9M2M4LQ,1,0
0LK62LATB8E3,3,2590.7255886736
QO0YHBN8KRMK,3,0
MBT9G0X70NTI,3,2978.9989359980027
QTR3JJJ5J6GJ,3,0
HOMV3XQW32LW,2,4273.117290096306
RJ7CCATUH4Q1,3,0
