"seatID","custID","ticketType","gameID"
2,"85XI51UK3312","se",214
3,"85XI51UK3312","se",214
4,"85XI51UK3312","se",214
5,"85XI51UK3312","se",214
6,"HL1LS8PNUJXU","se",214
7,"HL1LS8PNUJXU","se",214
8,"HL1LS8PNUJXU","se",214
9,"HL1LS8PNUJXU","se",214
10,"HL1LS8PNUJXU","se",214
11,"HL1LS8PNUJXU","se",214
12,"HL1LS8PNUJXU","se",214
13,"HL1LS8PNUJXU","se",214
14,"HL1LS8PNUJXU","se",214
15,"HL1LS8PNUJXU","se",214
16,"HL1LS8PNUJXU","se",214
17,"HL1LS8PNUJXU","se",214
18,"HL1LS8PNUJXU","se",214
19,"HL1LS8PNUJXU","se",214
20,"HL1LS8PNUJXU","se",214
21,"HL1LS8PNUJXU","se",214
22,"HL1LS8PNUJXU","se",214
23,"HL1LS8PNUJXU","se",214
24,"HL1LS8PNUJXU","se",214
25,"HL1LS8PNUJXU","se",214
26,"HL1LS8PNUJXU","se",214
27,"HL1LS8PNUJXU","se",214
28,"HL1LS8PNUJXU","se",214
29,"HL1LS8PNUJXU","se",214
30,"HL1LS8PNUJXU","se",214
31,"85XI51UK3312","se",214
54,"UZ1C1NS6X6WV","se",214
55,"UZ1C1NS6X6WV","se",214
57,"RUCHZMTTAJPJ","si",214
58,"RUCHZMTTAJPJ","si",214
59,"RUCHZMTTAJPJ","si",214
60,"B7GH1A939FK9","si",214
61,"B7GH1A939FK9","si",214
62,"B7GH1A939FK9","si",214
63,"B7GH1A939FK9","si",214
64,"RUCHZMTTAJPJ","si",214
65,"JMOPAPYHDYSW","si",214
66,"JMOPAPYHDYSW","si",214
67,"JMOPAPYHDYSW","si",214
68,"JMOPAPYHDYSW","si",214
69,"JMOPAPYHDYSW","si",214
70,"JMOPAPYHDYSW","si",214
71,"JMOPAPYHDYSW","si",214
73,"QNHCXBK2BJ0A","si",214
74,"QNHCXBK2BJ0A","si",214
75,"QNHCXBK2BJ0A","si",214
76,"RZ0BSAU51RL4","se",214
