"seatID","custID","ticketType","gameID"
2,"85XI51UK3312","se",160
3,"85XI51UK3312","se",160
4,"85XI51UK3312","se",160
5,"85XI51UK3312","se",160
6,"HL1LS8PNUJXU","se",160
7,"HL1LS8PNUJXU","se",160
8,"HL1LS8PNUJXU","se",160
9,"HL1LS8PNUJXU","se",160
10,"HL1LS8PNUJXU","se",160
11,"HL1LS8PNUJXU","se",160
12,"HL1LS8PNUJXU","se",160
13,"HL1LS8PNUJXU","se",160
14,"HL1LS8PNUJXU","se",160
15,"HL1LS8PNUJXU","se",160
16,"HL1LS8PNUJXU","se",160
17,"HL1LS8PNUJXU","se",160
18,"HL1LS8PNUJXU","se",160
19,"HL1LS8PNUJXU","se",160
20,"HL1LS8PNUJXU","se",160
21,"HL1LS8PNUJXU","se",160
22,"HL1LS8PNUJXU","se",160
23,"HL1LS8PNUJXU","se",160
24,"HL1LS8PNUJXU","se",160
25,"HL1LS8PNUJXU","se",160
26,"HL1LS8PNUJXU","se",160
27,"HL1LS8PNUJXU","se",160
28,"HL1LS8PNUJXU","se",160
29,"HL1LS8PNUJXU","se",160
30,"HL1LS8PNUJXU","se",160
31,"85XI51UK3312","se",160
32,"LRJ8S7VUUNTE","si",160
33,"A9KGLKZYK75F","si",160
35,"L6WIURVCWDH0","si",160
36,"L6WIURVCWDH0","si",160
37,"L6WIURVCWDH0","si",160
38,"L6WIURVCWDH0","si",160
39,"OC02ZS8K5M6B","si",160
40,"OC02ZS8K5M6B","si",160
41,"CUBF278CT0YE","si",160
42,"CUBF278CT0YE","si",160
43,"CUBF278CT0YE","si",160
44,"CUBF278CT0YE","si",160
48,"J3XNU0XB7FQJ","si",160
49,"J3XNU0XB7FQJ","si",160
50,"J3XNU0XB7FQJ","si",160
51,"J3XNU0XB7FQJ","si",160
52,"J3XNU0XB7FQJ","si",160
53,"J3XNU0XB7FQJ","si",160
54,"UZ1C1NS6X6WV","se",160
55,"UZ1C1NS6X6WV","se",160
56,"J3XNU0XB7FQJ","si",160
57,"J3XNU0XB7FQJ","si",160
58,"J3XNU0XB7FQJ","si",160
59,"D5PY51362FG8","si",160
60,"D5PY51362FG8","si",160
61,"J3XNU0XB7FQJ","si",160
62,"J3XNU0XB7FQJ","si",160
63,"AZM5NONME4QX","si",160
64,"AZM5NONME4QX","si",160
65,"P8OCSQYWZW92","si",160
66,"P8OCSQYWZW92","si",160
67,"IM8EDUVKGZUT","si",160
68,"IM8EDUVKGZUT","si",160
69,"0UX4ZVT2BDWA","si",160
70,"0UX4ZVT2BDWA","si",160
71,"0UX4ZVT2BDWA","si",160
72,"0UX4ZVT2BDWA","si",160
73,"0UX4ZVT2BDWA","si",160
74,"0UX4ZVT2BDWA","si",160
76,"RZ0BSAU51RL4","se",160
77,"RZ0BSAU51RL4","se",160
78,"RZ0BSAU51RL4","se",160
79,"RZ0BSAU51RL4","se",160
80,"RZ0BSAU51RL4","se",160
81,"7RVWALOOWZZ0","si",160
82,"7RVWALOOWZZ0","si",160
84,"4MSR5IS85UHD","si",160
85,"9WSS7VGNC163","se",160
86,"9WSS7VGNC163","se",160
87,"4MSR5IS85UHD","si",160
88,"UNMIV4W66AWB","si",160
89,"UNMIV4W66AWB","si",160
90,"UNMIV4W66AWB","si",160
91,"UNMIV4W66AWB","si",160
92,"4MSR5IS85UHD","si",160
93,"4MSR5IS85UHD","si",160
94,"4MSR5IS85UHD","si",160
95,"4MSR5IS85UHD","si",160
96,"4MSR5IS85UHD","si",160
97,"4MSR5IS85UHD","si",160
98,"4MSR5IS85UHD","si",160
99,"4MSR5IS85UHD","si",160
100,"4MSR5IS85UHD","si",160
101,"4MSR5IS85UHD","si",160
102,"4MSR5IS85UHD","si",160
103,"4MSR5IS85UHD","si",160
104,"4MSR5IS85UHD","si",160
105,"4MSR5IS85UHD","si",160
106,"4MSR5IS85UHD","si",160
107,"4MSR5IS85UHD","si",160
108,"4MSR5IS85UHD","si",160
111,"UPWVY9WJDTIM","si",160
112,"UPWVY9WJDTIM","si",160
113,"JIXVR68Z44GU","si",160
114,"JIXVR68Z44GU","si",160
115,"JIXVR68Z44GU","si",160
116,"JIXVR68Z44GU","si",160
117,"JIXVR68Z44GU","si",160
118,"JIXVR68Z44GU","si",160
119,"JIXVR68Z44GU","si",160
120,"JIXVR68Z44GU","si",160
121,"JIXVR68Z44GU","si",160
122,"JIXVR68Z44GU","si",160
123,"JIXVR68Z44GU","si",160
124,"JIXVR68Z44GU","si",160
125,"JIXVR68Z44GU","si",160
126,"JIXVR68Z44GU","si",160
127,"SA7GS894HHAV","se",160
128,"SA7GS894HHAV","se",160
129,"SA7GS894HHAV","se",160
130,"SA7GS894HHAV","se",160
131,"SA7GS894HHAV","se",160
132,"SA7GS894HHAV","se",160
133,"SA7GS894HHAV","se",160
134,"SA7GS894HHAV","se",160
135,"SA7GS894HHAV","se",160
136,"SA7GS894HHAV","se",160
137,"SA7GS894HHAV","se",160
138,"SA7GS894HHAV","se",160
139,"SA7GS894HHAV","se",160
140,"JIXVR68Z44GU","si",160
141,"JIXVR68Z44GU","si",160
142,"JIXVR68Z44GU","si",160
144,"SA7GS894HHAV","se",160
145,"SA7GS894HHAV","se",160
146,"SA7GS894HHAV","se",160
152,"UKX6JWGZKEBI","si",160
153,"UKX6JWGZKEBI","si",160
154,"VZCTTLG9I0FL","se",160
155,"VZCTTLG9I0FL","se",160
156,"VZCTTLG9I0FL","se",160
157,"VZCTTLG9I0FL","se",160
158,"VZCTTLG9I0FL","se",160
159,"VZCTTLG9I0FL","se",160
160,"VZCTTLG9I0FL","se",160
161,"VZCTTLG9I0FL","se",160
162,"VZCTTLG9I0FL","se",160
163,"VZCTTLG9I0FL","se",160
164,"VZCTTLG9I0FL","se",160
165,"VZCTTLG9I0FL","se",160
166,"VZCTTLG9I0FL","se",160
167,"VZCTTLG9I0FL","se",160
